season,date,home,away,market,label,direction,line,actual,won,blended_hit_rate,n_total
1920,2019-08-09,Liverpool,Norwich,home_goals,Liverpool to score,OVER,0.5,4.0,True,85.0,20
1920,2019-08-09,Liverpool,Norwich,away_goals,Norwich to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-09,Liverpool,Norwich,home_corners,Liverpool corners,OVER,3.5,11.0,True,75.0,20
1920,2019-08-09,Liverpool,Norwich,away_corners,Norwich corners,OVER,2.5,2.0,False,80.0,20
1920,2019-08-09,Liverpool,Norwich,home_sot,Liverpool shots on target,OVER,3.5,7.0,True,75.0,20
1920,2019-08-09,Liverpool,Norwich,away_sot,Norwich shots on target,UNDER,5.5,5.0,True,75.0,20
1920,2019-08-09,Liverpool,Norwich,match_cards,Total match cards,UNDER,4.5,2.0,True,90.0,20
1920,2019-08-10,Tottenham,Aston Villa,home_goals,Tottenham to score,UNDER,1.5,3.0,False,80.0,20
1920,2019-08-10,Tottenham,Aston Villa,away_goals,Aston Villa to score,OVER,0.5,1.0,True,85.0,20
1920,2019-08-10,Tottenham,Aston Villa,home_corners,Tottenham corners,OVER,2.5,14.0,True,85.0,20
1920,2019-08-10,Tottenham,Aston Villa,away_corners,Aston Villa corners,OVER,2.5,0.0,False,85.0,20
1920,2019-08-10,Tottenham,Aston Villa,home_sot,Tottenham shots on target,UNDER,5.5,7.0,False,90.0,20
1920,2019-08-10,Tottenham,Aston Villa,away_sot,Aston Villa shots on target,OVER,3.5,4.0,True,80.0,20
1920,2019-08-10,Tottenham,Aston Villa,match_cards,Total match cards,OVER,1.5,1.0,False,85.0,20
1920,2019-08-10,Crystal Palace,Everton,home_goals,Crystal Palace to score,UNDER,2.5,0.0,True,75.0,20
1920,2019-08-10,Crystal Palace,Everton,home_corners,Crystal Palace corners,UNDER,6.5,6.0,True,75.0,20
1920,2019-08-10,Crystal Palace,Everton,away_corners,Everton corners,OVER,3.5,2.0,False,75.0,20
1920,2019-08-10,Crystal Palace,Everton,home_sot,Crystal Palace shots on target,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-10,Crystal Palace,Everton,match_cards,Total match cards,UNDER,3.5,4.0,False,80.0,20
1920,2019-08-10,Watford,Brighton,home_goals,Watford to score,OVER,0.5,0.0,False,85.0,20
1920,2019-08-10,Watford,Brighton,away_goals,Brighton to score,UNDER,2.5,3.0,False,85.0,20
1920,2019-08-10,Watford,Brighton,home_corners,Watford corners,OVER,3.5,5.0,True,75.0,20
1920,2019-08-10,Watford,Brighton,away_corners,Brighton corners,UNDER,5.5,2.0,True,80.0,20
